Timestamp,Age (eg. 19),Do you like talking to your grandparents or someone of that age?,How often do you interact with them?,How often you would like to interact?,If given a chance would you like to interact with someone who is old as your grandparent but from a different cultural and geographical background?,Ask anyone around you who is as old as your grandparent and would like to talk to a random kid of your age and tell him stories/experiences about their childhood?,Any suggestions would be highly appreciated. You can criticise the idea/appreciate it. You want to add anything that you feel like?
06/11/2021 13:03:32,20,Yes,Nearly none at all,Monthly,Maybe,I didn't asked anyone,You can also partner with children orphanage and Old age orphanage and test this idea and start with them itself.
06/11/2021 13:17:03,20,Yes,Monthly,Weekly,Yes,"Maybe, depends",
06/11/2021 13:17:37,23,Yes,Daily,Daily,Yes,"Maybe, depends",
06/11/2021 13:19:00,20,Yes,Weekly,Daily,Yes,"Yes, they are willing to spend some time",Na 
06/11/2021 13:21:12,20,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",Definitely this would be amazing experience for both the age groups where we can learn as well as share the experience.
06/11/2021 13:23:05,20,Yes,Yearly,Weekly,Yes,"Yes, they are willing to spend some time","Unique and brilliant concept ,as senior citizens not only in our country but all over globe are going through same situation ,even they need someone to talk to , so this goes hand in hand 
Great idea ,hope you execute it wish you luckk !"
06/11/2021 13:23:07,20,Yes,Monthly,Weekly,Maybe,"Maybe, depends","I really appreciate this idea, loved it."
06/11/2021 13:24:49,20,Yes,Daily,Daily,Maybe,I didn't asked anyone,
06/11/2021 13:28:19,20,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",No 
06/11/2021 13:30:57,20,Yes,Weekly,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 13:31:06,20,Yes,Weekly,Weekly,Yes,I didn't asked anyone,
06/11/2021 13:32:40,21,Yes,Yearly,Daily,Yes,I didn't asked anyone,
06/11/2021 13:33:21,19,Yes,Weekly,Weekly,Yes,"Maybe, depends",I think we should talk to our grandparents because we lost connection between them 
06/11/2021 13:34:33,21,Yes,Monthly,Weekly,Yes,"Yes, they are willing to spend some time",
06/11/2021 13:34:44,19,Yes,Daily,Daily,Yes,"Maybe, depends","Right thinking. Mostly, We develop our way of thinking and philosophy by listening to our surroundings. Person of age of grandparent have many experiences and observation of many experiment of life. They can be good mentor. But also, there are many old ritual and society harnessing activity are carried by them. So there is chance to flourish the thinking of grandparent like person."
06/11/2021 13:37:34,24,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 13:41:41,20,,Weekly,,Maybe,I didn't asked anyone,
06/11/2021 13:42:52,19,Yes,Weekly,Weekly,Maybe,I didn't asked anyone,Idea is good for the sincere and disciplined students who are eager to flourish but most of them in today's generation are reluctant to take advise and think they know everything and they think they are better than the older generation and with the continuous influence by the western culture people are more detached from our own Indian culture. So it might be difficult to build such platform. But it's a great idea. Keep working ! Would like to connect on this particular platform ! 
06/11/2021 13:53:22,20,Yes,Weekly,Daily,Maybe,"Maybe, depends",
06/11/2021 13:53:33,21,Yes,Daily,Daily,Yes,"Maybe, depends",
06/11/2021 13:53:41,20,Yes,Weekly,Weekly,Yes,"Maybe, depends",
06/11/2021 13:54:34,21,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 13:55:27,22,Yes,Weekly,Daily,Yes,"Maybe, depends",
06/11/2021 13:56:20,19,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",Hi Lokesh Tavleen this side.Wanted to give another suggestion.You can go for a Premium version and a free version of your model.Example-If you build a website to connect these 2 age groups then you can generate revenue by a premium version which will have some more benefits as compared to a free version.In the free version you can connect people and do some social service too.Thank you!
06/11/2021 13:57:12,20,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",No
06/11/2021 13:58:36,19,Yes,Monthly,Weekly,Yes,"Maybe, depends",
06/11/2021 14:00:58,21,Yes,Nearly none at all,Monthly,Maybe,I didn't asked anyone,
06/11/2021 14:01:02,23,Yes,Monthly,Daily,Yes,"Yes, they are willing to spend some time",Share old photos and talk about the stories behind them.
06/11/2021 14:01:28,21,Yes,Nearly none at all,Weekly,Yes,I didn't asked anyone,It is absolutely a wonderful idea. It will really be a great awakening platform for the younger generation where they can learn from the experiences of the older people.
06/11/2021 14:03:03,18,Yes,Weekly,Weekly,Yes,"Yes, they are willing to spend some time",Survey questions were good ! 
06/11/2021 14:03:23,20,Yes,Weekly,Weekly,Yes,"Yes, they are willing to spend some time",Perfect concept 🙌🏻
06/11/2021 14:03:38,20,Yes,Monthly,Weekly,Yes,"No, they're not interested",
06/11/2021 14:04:31,21,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 14:06:37,20,Yes,Daily,Daily,Yes,"Maybe, depends",
06/11/2021 14:08:15,19,Yes,Daily,Daily,Yes,"Maybe, depends",No
06/11/2021 14:12:35,19,Yes,Daily,Daily,Maybe,"Maybe, depends",
06/11/2021 14:14:39,20,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 14:15:21,19,Yes,Monthly,Weekly,Yes,"Maybe, depends",
06/11/2021 14:16:00,18,Yes,Weekly,Daily,Yes,"Yes, they are willing to spend some time",I have no ideas😅 Thank you
06/11/2021 14:17:36,19,Yes,Weekly,Weekly,Maybe,"Maybe, depends",Ya ur approach is appriciable but it depends on connection with others like behaviour of both & interest bcz our bond with grandparents is from childhood 
06/11/2021 14:18:48,18,Yes,Monthly,Weekly,Yes,"Maybe, depends",The generation gap is increasing day by day ....so most of the teens don't like to interact with old people.... something should be done to decrease this generation gap
06/11/2021 14:20:23,20,Yes,Weekly,Daily,Yes,"Yes, they are willing to spend some time",No
06/11/2021 14:25:17,19,Yes,Weekly,Nearly none at all,Yes,"Yes, they are willing to spend some time",No
06/11/2021 14:26:11,19,Yes,Yearly,Monthly,Yes,"Maybe, depends","Yes, I liked this idea. Thankyou for give opportunity to learn something new :)"
06/11/2021 14:29:40,25,Yes,Monthly,Weekly,Yes,"Yes, they are willing to spend some time",
06/11/2021 14:29:52,18,Yes,Yearly,Monthly,Yes,"Yes, they are willing to spend some time",No
06/11/2021 14:31:12,20,Yes,Weekly,Weekly,Maybe,"Maybe, depends",Nice idea
06/11/2021 14:34:21,18,Yes,Weekly,Daily,Yes,"Maybe, depends",
06/11/2021 14:34:27,21,Yes,Daily,Daily,Yes,"No, they're not interested",No
06/11/2021 14:35:10,30,Yes,Weekly,Daily,Yes,I didn't asked anyone,
06/11/2021 14:38:36,20,Yes,Yearly,Daily,Yes,I didn't asked anyone,These sessions would ve great. But I won't think I will attend such sessions periodically. 
06/11/2021 14:40:17,20,Yes,Monthly,Monthly,Maybe,I didn't asked anyone,
06/11/2021 14:53:05,19,Yes,Daily,Daily,Yes,"Maybe, depends","No suggestion.
What you're thinking of creating is really great keep going👍"
06/11/2021 14:57:44,19,Yes,Weekly,Daily,Yes,"Yes, they are willing to spend some time",Its really a wonderful idea about reconnecting two generations all over again in this IT world . I really appreciate your efforts and ideas . This would really help people and make a better life with lots of morals and values.
06/11/2021 15:05:46,19,Yes,Weekly,Daily,Yes,"Maybe, depends",Do keep the sessions on the weekends & we can not only talk but also engage in some in activity to make it interesting
06/11/2021 15:07:54,20,Yes,Monthly,Monthly,Maybe,"Yes, they are willing to spend some time",
06/11/2021 15:18:22,18,Yes,Weekly,Daily,Maybe,"Maybe, depends",
06/11/2021 15:30:10,20,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 15:40:26,18,Yes,Yearly,Weekly,Yes,"No, they're not interested",
06/11/2021 15:40:55,20,Yes,Weekly,Daily,Yes,"Yes, they are willing to spend some time",It's a wonderful idea 
06/11/2021 15:45:38,19,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",It's a very good idea specially in India I feel like as we are growing we are loosing our culture and it's importance.. it is very important to know our culture and past.. talking to them will also make them feel happy... Most of the people in their 80's feel unwanted because nobody talks to them... Even they need a friend just like us.. personally from my side I feel like it is a very good initiative to talk about... 
06/11/2021 15:51:08,20,No,Weekly,Weekly,Yes,"Maybe, depends",
06/11/2021 15:58:22,25,Yes,Monthly,Weekly,Yes,"Yes, they are willing to spend some time",wow its an nice initiative.
06/11/2021 16:01:29,19,Yes,Monthly,Weekly,Yes,"Yes, they are willing to spend some time","Great idea! I feel this platform if used appropriately can have a big impact. But there is also a risk of creepy older people who might use this platform for other purposes, so need a way to know if the accounts are genuine. Also we need to make sure the site is moderated."
06/11/2021 16:06:03,21,Yes,Weekly,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 16:12:25,19,Yes,Weekly,Weekly,Yes,"Maybe, depends",
06/11/2021 16:13:36,22,Yes,Weekly,Daily,Maybe,I didn't asked anyone,.
06/11/2021 16:24:33,19,Yes,Daily,Daily,Yes,"Maybe, depends",
06/11/2021 16:27:17,18,Yes,Weekly,Weekly,Yes,I didn't asked anyone,
06/11/2021 16:33:30,20,Yes,Monthly,Weekly,Yes,"Yes, they are willing to spend some time",
06/11/2021 16:35:03,19,Yes,Weekly,Weekly,Yes,I didn't asked anyone,
06/11/2021 16:38:10,20,No,Nearly none at all,Yearly,Maybe,I didn't asked anyone,
06/11/2021 16:39:50,22,Yes,Weekly,Weekly,Yes,"Yes, they are willing to spend some time",
06/11/2021 16:41:02,17,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 16:43:46,20,Yes,Weekly,Daily,Yes,"Yes, they are willing to spend some time",A great initiative! Good luck👍
06/11/2021 16:50:04,20,Yes,Daily,Weekly,Yes,"Maybe, depends",
06/11/2021 17:00:45,19,No,Nearly none at all,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 17:09:27,19,Yes,Monthly,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 17:11:50,21,Yes,Weekly,Weekly,Maybe,"Maybe, depends",
06/11/2021 17:11:59,18,Yes,Daily,Daily,Yes,"Maybe, depends",
06/11/2021 17:34:04,18,Yes,Monthly,Weekly,Yes,"Maybe, depends",
06/11/2021 18:14:08,20,Yes,Yearly,Monthly,Yes,"Yes, they are willing to spend some time",
06/11/2021 19:06:39,23,Yes,Daily,Daily,Yes,"Yes, they are willing to spend some time",
06/11/2021 19:13:13,24,Yes,Weekly,Weekly,Maybe,"Yes, they are willing to spend some time",
06/11/2021 19:13:15,25,No,Yearly,Yearly,Yes,"Yes, they are willing to spend some time",
06/11/2021 19:23:33,20,Yes,Monthly,Weekly,Yes,"Maybe, depends",
06/11/2021 19:33:37,20,Yes,Weekly,Weekly,Yes,"Yes, they are willing to spend some time","It's a great initiative as long as u can find the right connections and ppl. Not all ppl and combinations might work out successfully. 
Good luck on ur endeavor! Hope it works! "
06/11/2021 19:34:57,19,Yes,Monthly,Weekly,Maybe,"Maybe, depends",
06/11/2021 19:37:45,19,Yes,Yearly,Yearly,Yes,I didn't asked anyone,
06/11/2021 20:36:33,20,Yes,Yearly,Weekly,Yes,"Maybe, depends",
06/11/2021 20:42:23,18,No,Daily,Daily,Yes,"Maybe, depends",No
06/11/2021 20:45:38,19,Yes,Daily,Daily,Maybe,"Maybe, depends",
06/11/2021 20:47:13,20,Yes,Weekly,Weekly,Yes,"Yes, they are willing to spend some time","Great Idea bro !
Just a doubt
I don't think that many aged people's like age of my grandparents knows how to use apps like these. Leave the apps they don't even know how to use a smart phone also!
Except that I think that idea is great and creatively thought ! Would love to know more about the actual detailed idea ! "
06/11/2021 21:03:04,20,Yes,Daily,Daily,Maybe,"Maybe, depends",
06/11/2021 21:04:24,20,Yes,Nearly none at all,Daily,Yes,I didn't asked anyone,No.
06/11/2021 21:08:39,25,No,Weekly,Weekly,Maybe,"Maybe, depends",
06/11/2021 21:08:53,20,Yes,Weekly,Weekly,Maybe,I didn't asked anyone,
06/11/2021 22:48:26,26,Yes,Monthly,Daily,Yes,I didn't asked anyone,
06/11/2021 23:01:47,18,Yes,Weekly,Daily,Maybe,"Maybe, depends",
06/11/2021 23:26:40,20,Yes,Monthly,Daily,Maybe,"Maybe, depends",
06/11/2021 23:39:18,20,Yes,Weekly,Daily,Maybe,I didn't asked anyone,"Its a great idea,I completely appreciate."
06/11/2021 23:40:21,19,Yes,Daily,Daily,Maybe,"Yes, they are willing to spend some time",
06/11/2021 23:53:31,20,Yes,Monthly,Weekly,Yes,"Yes, they are willing to spend some time",
07/11/2021 00:41:15,19,Yes,Daily,Daily,Maybe,"Yes, they are willing to spend some time","Not all people above 50 can interact through phone as they are not that used too to the technology, and all old people may not be able to connect to younger generation as the condition are different for both the generation, we have different thinking, different resources and different goals then them, they have life experience that would be useful in some aspects like 20% scenario but most of them would be unrelated ."
07/11/2021 02:12:26,20,Yes,Weekly,Weekly,Maybe,I didn't asked anyone,"I feel like old generation might take  a lot of time to accept this kind of change and as the new generation believes in fast life , they would be least bothered to take such kind of idea , also  in today's world nobody has a lot of time to attend such kind of sessions hardly they spend time with their family due to increase of work load . Some  might like the idea but everyone is not the same . 
Otherwise the Idea is great. "
07/11/2021 06:40:12,20,Yes,Monthly,Weekly,Yes,I didn't asked anyone,
07/11/2021 10:02:26,20,Yes,Yearly,Yearly,Maybe,"Yes, they are willing to spend some time","First of all the idea is perfect. Although the technology has been grown alot in this era.So when ever you feel little bit demotivate you can watch some sort of motivation video.But that motivation is last long for 2 -3 day.So U need some kind of reason,purpose in your life I think finally it depends all on you whether you want to do it or not. So whenever U talk to you grandparent they have very strong postive vibe they tell U how to handle life outside your academic specially our youth need all this information  . I myself had experience of 5 -6 yr haven't talk to my grandparents busy in my own work. One modification which i liked to mention that there should be 2-3 person of age 50 and 1 single person of age 18 onwards  because they can listen both person point of view on same topic and do comparison of both person view and understand it on wider range... "
07/11/2021 11:36:39,19,Yes,Weekly,Weekly,Maybe,"Maybe, depends",NA
07/11/2021 14:42:13,20,Yes,Monthly,Monthly,Yes,"Maybe, depends",
07/11/2021 17:49:36,20,Yes,Weekly,Weekly,Maybe,"Yes, they are willing to spend some time",
08/11/2021 11:56:04,22,Yes,Monthly,Weekly,Yes,"Maybe, depends","Idea seems amazing! Worth a shot, after the first version we might realise some appropriate changes."
08/11/2021 16:32:00,25,Yes,Weekly,Weekly,Maybe,"Yes, they are willing to spend some time",This feels like an incredible idea